Tipo_de_Propiedad,Zona,Fecha_Publicacion,Latitud,Longitud,Precio,Gastos_Comunes,Fecha_Construccion,Estado,Disposicion,Banos,M2_edificados,M2_de_terraza,M2_del_terreno,Dormitorios,Garajes,Vivienda_Social,Descripcion
Apartamento,Punta Carretas,2024-08-10,-34.921830421159456,-56.15753805593205,349000,312.0,1980.0,Requiere mantenimiento,Al frente,2.0,113,8,0,5.0,1.0,False,"El edificio se encuentra en excelente punto de Punta carretas, a dos cuadras del Shopping y cuatro de la rambla. Orientación Norte, buena entrada de luz natural. Un apartamento por piso.La distribución del apartamento es en forma cuadrada todo conectado, saliendo del ascensor tenemos una puerta a cada lado del hall, ideal para quienes quieren tener su consultorio y/o oficina en su casa.Entrando por la puerta principal hacia la izquierda accedemos al living con balcón al frente, hacia la derecha se ingresa a muy disfrutable sala de estar, comedor con hermosa vista despejada y al mar. Hay espacio dónde se podría hacer un tercer baño en caso de necesitarlo.Dormitorio principal en suite, con gran placar empotrado, aire acondicionado y balcón al frente, dormitorio de menor tamaño también con placar empotrado y al frente, dormitorio pequeño también al frente que se puede eliminar y agrandar el living. Baño completo. Dos dormitorios al contra frente actualmente utilizados como consultorios, uno de ellos con placar empotrado y aire acondicionado.Todas las aberturas del apartamento tienen doble ventana, pisos de parquet.Garaje fijo, lugar cómodo de maniobrar, se accede por doble portón eléctrico, box de buen tamaño y luz natural.Gran patio común con piso damero a nivel de la entrada al edificio, súper disfrutable.Portería presencial de lunes a sábado de 12 a 2Ohs.No deje de verlo!, coordine visita con Virginia Díaz de DIAZ MOSCA Propiedades al (099)642005Honorarios por intermediación 3% del valor de venta + IVAAclaración a Colegas: ésta propiedad no la podemos compartir."
Apartamento,Pocitos,2024-08-06,-34.9145022,-56.1492377,590000,700.0,,Reciclada,Al frente,3.0,175,13,0,4.0,1.0,False,"Apartamento de Categoría, Avda Brasil y Benito Blanco, Living y dormitorios al frente con vista a la rambla, 1 dormitorio en suite con vestidor. Además dormitorio de servicio completo (hoy como cuarto de juegos). Cocina con comedor diario, parrillero techado y salida a patio.Calefacción central. Portería 24hs, cómodo lugar de estacionamientoGastos en meses si calefacción $25mil, meses con calefacción $34mil"
Casa,Malvín,2024-08-14,-34.89543523566189,-56.09750032424928,345000,0.0,1954.0,Requiere mantenimiento,Al frente,2.0,162,5,274,3.0,1.0,False,"Excelente oportunidad !Venta casa de 3 dormitorios y 2 baños en venta en el barrio de Malvín. Esta propiedad se encuentra en una ubicación privilegiada, con todas las comodidades y servicios que la zona tiene para ofrecer y a tan solo cuadra y media de la rambla y el mar.Con un total de 162 m2, esta espaciosa casa cuenta con una distribución funcional y cómoda. Además, cuenta con un hermoso jardín de casi 274 mts, con un área de parrillero para disfrutar de momentos al aire libre.Aunque requiere cierto mantenimiento, esta casa ofrece un enorme potencial y la oportunidad de convertirla en el hogar de tus sueños. No pierdas la oportunidad de adquirir esta encantadora propiedad en una de las mejores zonas de Montevideo. ¡Contáctanos hoy mismo para coordinar una visita y aprovechar esta increíble oferta por un precio de USD 345.000!"
Casa,Prado,2024-08-28,-34.8530074,-56.2063646,320000,0.0,1952.0,Buen estado,Al frente,3.0,250,0,420,5.0,3.0,False,"Hola, soy Flavia, soy rematadora y asesora inmobiliaria te invito a conocer esta propiedad en Prado NorteSe desarrolla en dos unidades, con acceso de forma independiente.Una casa y un gran apartamento en el piso superior.Cuenta con garaje para tres vehículos, dos de ellos bajo techo.Distribución:Planta Baja:- 3 dormitorios con opción a 4- 2 Baños - Living- Cocina- Hall u otra sala de estar con estufa a leñaPlanta alta:- 3 dormitorios - Living- Cocina- Patio interno- Parrillero- Terraza lavaderoPatio exterior:Parrillero DepósitoPequeña pieza con bañoPieza con Cocina y dormitorioFicha Técnica:Solar de 420 metrosConstruidos 260 metrosContribución Inmobiliaria: 3 cuotas de $9.500Impuesto de Primaria: 3 cuotas de $2.400Propiedad Horizontal regularizadaACEPTA BANCO!Es una propiedad de pisos de madera inmaculados, espacios amplios, seguros, con rejas en las aberturas.No dudes en consultar, te aseguro es una propiedad con todo el potencial que buscas y te enamorará! Se escuchan ofertas.FLAVIA ERAZO REMATADORAASESORA INMOBILIARIA"
Casa,Carrasco,2024-09-07,,,1400000,0.0,1934.0,Excelente estado,No aplica,3.0,540,0,1.223,4.0,2.0,False,"Importante casa en zona de embajadas en dos plantas.
En primera planta:
Living, comedor, estar diario con estufa a leña 
Cocina definida 
Dormitorio de servicio con baño completo 

En planta alta:
4 dormitorios
3 baños completos, 2 de ellos en suite

Calefacción por losa radiante sectorizada
Riego automático

Piscina
Barbacoa en el fondo con dormitorio y baño en suite, ideal para oficina
Casita aparte con garaje, dormitorio en suite y kitchenette 
Garaje cerrado para 2 autos 
Estacionamiento para 4 autos
Referencia Interna : Tera-15347"
Apartamento,Pocitos,2024-06-14,-34.915134,-56.153904,340000,350.0,1961.0,Buen estado,Al frente,3.0,132,0,156,3.0,1.0,False,"Amplio apartamento en pocitos de 3 dormitorios con placares  gran living comedor con terrazas  estar definido  3 baños  dep de servicio  cocina  garaje fijo y terraza lavadero. El edificio cuenta con calefaccion central. Bajos gastos comunes.


Las imágenes son meramente ilustrativas  pueden diferir de la realidad.
Los datos son proporcionados por el propietario  en consecuencia exime a Inm. Braglia de todo tipo de responsabilidad.."
Casa,Brazo Oriental,2024-07-16,-34.861178,-56.186244,115000,0.0,1941.0,Sin Definir,No aplica,1.0,82,0,117,2.0,0.0,False,"2 dormitorios  living  cocina  baño  altillo  jardin y patio.

Las imágenes son meramente ilustrativas  pueden diferir de la realidad.
Los datos son proporcionados por el propietario  en consecuencia exime a Inm. Braglia de todo tipo de responsabilidad."
Apartamento,Cordón,2024-06-15,-34.90783,-56.178421,125000,116.5,1945.0,Buen estado,Contrafrente,1.0,60,0,63,2.0,0.0,False,Contra frente muy soleado de 2 dormitorios y escritorio  living comedor  cocina y baño reciclados y balcon.
Apartamento,Cordón,2024-08-24,-34.901763,-56.175617,155000,197.5,2017.0,Sin Definir,Al frente,1.0,40,0,46,1.0,1.0,False,"Muy buen apto en piso alto de 1 dormitorio con placares  living comedor con muy buen balcon  cocina de concepto abierto  garaje fijo  y baño. El edificio cuenta con barabcoa de uso comun y vigilancia

Las imágenes son meramente ilustrativas  pueden diferir de la realidad.
Los datos son proporcionados por el propietario  en consecuencia exime a Inm. Braglia de todo tipo de responsabilidad."
Casa,La Blanqueada,2024-05-20,-34.885915,-56.152857,380000,0.0,1951.0,Buen estado,No aplica,3.0,222,0,312,5.0,2.0,False,"Hermosa casa pronta para entrar! en 2 plantas con 5 dormitorios  living y comedor  amplia cocina  3 baños  jardin  garaje para 2 coches  patio y gran barabcoa con parrillero  horno de pizza  baño y entrepiso. No deje de verla!

Las imágenes son meramente ilustrativas  pueden diferir de la realidad.
Los datos son proporcionados por el propietario  en consecuencia exime a Inm. Braglia de todo tipo de responsabilidad."
Casa,Prado,2024-09-06,-34.85764,-56.196282,185000,0.0,1957.0,Sin Definir,No aplica,1.0,60,0,120,2.0,0.0,False,"Casa en complejo cerrado  muy buena seguridad. Consta de 2 dormitorios  living comedor con estufa a leña  cocina con comedor diario  baño  patio con lavadero y jardin. Baño y cocina reciclados

Las imágenes son meramente ilustrativas  pueden diferir de la realidad.
Los datos son proporcionados por el propietario  en consecuencia exime a Inm. Braglia de todo tipo de responsabilidad."
Apartamento,Malvín,2024-05-10,-34.887844,-56.106754,349000,295.0,2008.0,Buen estado,Al frente,2.0,75,0,88,3.0,1.0,False,"Hermoso apartamento panoramico y super soleado con renta!  todos los ambientes con luz natural.
Ubicado en el edificio Lunas de Malvin  de 3 dormitorios con placares  ppal en suite  living comedor con vista al mar y balcon  cocina muy bien equipada con pasa platos al comedor  2 baños y muy comodo garaje fijo. Calefaccion por losa individual y a/a split. Se vende con muebles
El edificio cuenta con los siguientes amenities: 2 piscinas en el ultimo piso con vista panoramica  4 parrilleros en la misma planta  gym  salon de juegos para adultos y adolescentes  sala juegos niños  laundry con maquinas de lavado y secado  vigilancia 24hs y CCTV. 

Las imágenes son meramente ilustrativas  pueden diferir de la realidad.
Los datos son proporcionados por el propietario  en consecuencia exime a Inm. Braglia de todo tipo de responsabilidad."
Casa,Centro,2024-08-28,-33.9969621,-58.2868347,128000,0.0,1969.0,Buen estado,,1.0,0,0,296,3.0,0.0,False,"                                    NUEVO PRECIO!!En venta Casa y Apartamento en u mismo padrón ubicados en zona céntrica de la ciudad de Carmelo, las propiedades se ubican a una cuadra de la plaza Artigas y a 5 cuadras de la Independencia.La casa se compone de living y comedor, cocina, baño, dos dormitorios, vestidor, patio con parrillero techado.El apartamento está compuesto por living-comedor, amplio dormitorio, cocina, baño y patio chico.Consulte por financiación   Código de referencia: GHO*** Si te interesó la propiedad puedes coordinar visita a través de los números ALQUILERES  Oficina *** / *** VENTAS *** (Martin Gonzalez)/ *** (Carlos Veliz)Estamos ubicados en Zorrilla de San Martín 447 esquina Roosevelt, Carmelo - Uruguay."
Apartamento,Centro,2024-09-03,,,105000,403.95,1955.0,A reciclar,No aplica,2.0,204,0,204,4.0,0.0,False,"Muy buena construcción de 204 metros cuadrados, pisos de parquet y amplios ambientes.
Espacio para living
Espacio de comedor diario 
4 dormitorios
2 baños
Cuenta con ascensor y vigilancia
Referencia Interna : Tera-15029"
Apartamento,Pocitos,2024-09-02,-34.9241072,-56.1546421,380000,0.0,2019.0,Excelente estado,Al frente,2.0,80,0,0,2.0,1.0,False,"Ubicado en en exclusivo punto de la ciudad, a metros de la Rambla de Punta Carretas, Golf, Shopping y Parque Villa Biarritz.Edificio de gran categoría que predominan sus terminaciones de excelente calidad y sus aberturas vidriadas de piso a techo y sus espacios verdes.Terraza en su último piso, con excelentes vistas panorámicas, parrillero que permite conectarte con la naturaleza.Apartamento con living hacía el frente con cocina integrada, equipada con Anafe y Horno Empotrado y Campana marca Beko, Lavadero con conexión para 2 calefones, 2 baños completos uno en Suite, ambos con mampara de vidrio. 2 dormitorios amplios hacía contra frente interno verde con luz, suite principal con vestidor y segundo dormitorio con placard cómodo.Garage cómodo de la unidad.Sistema de calefacción eléctrica individual sectorizada con regulador electrónico, conexión empotrada por lo que no se ven los Split.¡Coordina tu visita! Vende Ocean Negocios Inmobiliarios"
Casa,Carrasco Norte,2024-09-07,-34.872965065184,-56.065449125795,260000,37.5,2024.0,Sin Definir,No aplica,2.0,80,0,70,3.0,1.0,False,"En Carrasco Norte y sobre calle muy tranquila se desarrolla esta unidad en Propiedad Horizontal a estrenar.
Ubicada a pocas cuadras de vías principales con acceso a Sector servicios y Colegios.

Buenos materiales y terminaciones.
Inmejorable oportunidad de compra accesible, en zona de alta demanda y en constante renovación.

Se desarrolla en 2 Plantas.
PB: Recibidor, toilette, estar, comedor y cocina integrada completa. 
Ventanal amplio con salida a exterior.
PA: Tres cuartos de diferente área, con placares y un baño completo. 

La unidad cuenta con Parrillero exterior (acceso desde estar) , área verde y una posición de cochera.
Reja perimetral y portón eléctrico.
Destaca mínimo gasto común para mantenimiento de servicios compartidos.

Desarrollado por profesionales con experiencia y trayectoria en la ejecución de proyectos de este tipo.
Consultanos por más detalles.


"
Casa,Carrasco,2024-09-05,,,320000,0.0,1959.0,Buen estado,No aplica,1.0,100,0,269,2.0,1.0,False,"Living comedor con estar y estufa a leña al frente con conexión al estar
Cocina definida con comedor diario
2 dormitorios
1 baño 
Patio con parrillero con salida desde el estar y cocina
Jardín al frente 

Garaje cerrado

Jardín de uso común con cancha de futbol
Referencia Interna : Tera-15348"
Apartamento,Malvín,2024-09-05,-34.8868833,-56.1060211,170000,197.25,,Excelente estado,Al frente,1.0,50,2,0,2.0,2.0,False,"Inmobiliaria Vilanova vende apartamento con renta. Ubicado en Malvin sur, complejo E-TowerSegundo piso por ascensor, todo al Norte, muy soleado. Living comedor amplio. Cocina integrada con muebles aéreos y bajo mesada. Terraza lavadero con instalación para lavarropaPasillo y hall de distribución con placares. Dos dormitorios con placares.Baño completoEquipado con: Aire acondicionado en living y dormitorios, cortinas roller, calefón, apliques de luz.GARAJE PARA DOS COCHES. Amenities del complejo:Seguridad 24 horasBarbacoas en piso 14Laundry G. C. $ 7.890Fondo de reserva: $1.010Contribución: $18.000 al añoPrimaria: $3.800 al añoAlquilado en $ 32.500 desde setiembre 2024, garantía ANDA. "
Apartamento,Carrasco,2024-08-19,,,595000,800.0,2013.0,Buen estado,No aplica,3.0,299,0,299,3.0,2.0,False,"Living comedor con estufa a leña y salida al jardín
Cocina definida con placares, anafe y campana extractora, y salida a terraza lavadero 
3 dormitorios 
3 baños completos, dos en suite
Terraza con parrillero y amplio jardín
Garaje para dos autos con boxes 

Cuenta con cerca eléctrica en todo el perímetro, persianas con sistema eléctrico, calefacción y agua caliente central por caldereta a gas.

Edificio cuenta con portería 24 hrs y servicio de jardinería y riego. 
Referencia Interna : Tera-15184"
Casa,Prado,2024-09-05,-34.868671,-56.205819,490000,0.0,1966.0,Buen estado,Al frente,3.0,279,0,481,5.0,4.0,False,"VENTA PARA EXIGENTES.Financiación directa con entrega USD 490.000.Precio total: USD 870.000.Ubicada sobre Av. Agraciada. Sólida casa de 5 dorm., 4 baños, 4 cocheras, jardín y barbacoa.Seguridad, amplitud y confort.Reciclada en 2001. ¡Nada para hacerle, lista para entrar!Planta baja: Amplio jardín con cerca perimetral de 6 hilos. Espacio para 3 vehículos más garaje. Portón eléctrico basculante en la casa y garaje.Alarma y automatización de luces.Interiores: Puerta de cedro. Calefacción por radiador. Parquet de lapacho en el living (8x4 m) con moquette.Aire acondicionado. Placard empotrado en oficina (planta baja) con salida al patio. Cortina eléctrica.Cocina y servicios: Cocina completa, aéreos y bajo mesada. Extractor, heladera James con doble filtro. Caldereta a gas. Lavadero con jardín de invierno, lavarropas y 2 secarropas (8 kg cada uno).Comedor diario: Doble ventana al patio, aire acondicionado. Tablero eléctrico que controla extractor, calefacción y aire acondicionado.Dormitorios: Dormitorio con baño en suite, salida a patio de invierno, placard empotrado, aire acondicionado. Placares empotrados en pasillos.Segundo dorm. al contrafrente, salida al fondo, placard, aire acondicionado, ventana de aluminio.Tercer dorm. amplio, placard, aire acondicionado, salida a patio.Cuarto dorm. con placard empotrado, aire acondicionado, persianas eléctricas, ventana a patio lateral.Patio exterior y barbacoa: Barbacoa con parrillero y aire acondicionado. Cobertizo.Planta alta: Escalera con vestidor.Dormitorio en suite con: baño con jacuzzi, estufa a leña con forzador de aire, terraza con persiana eléctrica.Oficina en suite con escritorio de cedro y kitchenette.Única. (CW219629)"
Apartamento,Puerto Buceo,2024-09-06,-34.9025331,-56.132942,234000,15.0,,A estrenar,Al frente,2.0,65,0,0,2.0,0.0,False,"Amplio Apartamento al Frente con Excelente Ubicación y Comodidades Modernas             Este luminoso apartamento al frente, ubicado en una zona privilegiada a solo 100 metros de la Rambla y del complejo WTC/Montevideo Shopping, ofrece una oportunidad única en el mercado inmobiliario. Con una distribución de dos dormitorios grandes y dos baños (uno en suite), esta propiedad destaca por su confort y funcionalidad.Características Principales:Estufa a leña en el living para disfrutar de ambientes cálidos.Balcón ideal para relajarse y disfrutar del entorno.Bajos gastos comunes e impuestos, ideal para una inversión rentable.Construcción de excelente calidad con paredes gruesas y techos altos.Totalmente reciclado con acabados de buen gusto y materiales de alta calidad.Ventanas nuevas de aluminio blanco con vidrio doble en áreas principales para aislamiento acústico.Pisos de parquet en excelente estado en living y dormitorios.Ubicación y Entorno:Ubicado en una zona en constante crecimiento y con todos los servicios a su disposición, incluyendo educación, gastronomía, comercios, supermercados y transporte público accesible hacia toda la ciudad, aeropuerto y costa este.Seguridad y Confort:La propiedad cuenta con rejas en todas las aberturas y está situada en el primer piso, evitando problemas de humedad y ofreciendo tranquilidad y seguridad. La azotea impermeabilizada está en perfecto estado.Equipamiento Adicional (opcional):Se incluye equipamiento moderno en cocina y baño social, así como aires acondicionados en todos los ambientes y lavarropas a medida, todo en óptimas condiciones y disponible para la venta junto con la propiedad.Esta es una oportunidad única para quienes buscan un hogar seguro y cómodo en una ubicación privilegiada de Montevideo. No pierdas la oportunidad de conocer este apartamento que combina estilo, funcionalidad y una excelente inversión.Para más información o coordinar una visita, no dudes en contactarnos."
Apartamento,Pocitos Nuevo,2024-08-02,-34.903745875560205,-56.142475605010986,125000,100.0,2022.0,Buen estado,Contrafrente,1.0,36,5,0,,1.0,False,"Ideal para renta. Alquilado hasta diciemnre en 23milCocina equipada. Terraza al contrfrente. Garaje compartidoContribución anual $8000, primaria $3000Edificio con Solarium y parrillero"
Apartamento,Punta Carretas,2024-08-10,-34.921830421159456,-56.15753805593205,349000,312.0,1980.0,Requiere mantenimiento,Al frente,2.0,113,8,0,5.0,1.0,False,"El edificio se encuentra en excelente punto de Punta carretas, a dos cuadras del Shopping y cuatro de la rambla. Orientación Norte, buena entrada de luz natural. Un apartamento por piso.La distribución del apartamento es en forma cuadrada todo conectado, saliendo del ascensor tenemos una puerta a cada lado del hall, ideal para quienes quieren tener su consultorio y/o oficina en su casa.Entrando por la puerta principal hacia la izquierda accedemos al living con balcón al frente, hacia la derecha se ingresa a muy disfrutable sala de estar, comedor con hermosa vista despejada y al mar. Hay espacio dónde se podría hacer un tercer baño en caso de necesitarlo.Dormitorio principal en suite, con gran placar empotrado, aire acondicionado y balcón al frente, dormitorio de menor tamaño también con placar empotrado y al frente, dormitorio pequeño también al frente que se puede eliminar y agrandar el living. Baño completo. Dos dormitorios al contra frente actualmente utilizados como consultorios, uno de ellos con placar empotrado y aire acondicionado.Todas las aberturas del apartamento tienen doble ventana, pisos de parquet.Garaje fijo, lugar cómodo de maniobrar, se accede por doble portón eléctrico, box de buen tamaño y luz natural.Gran patio común con piso damero a nivel de la entrada al edificio, súper disfrutable.Portería presencial de lunes a sábado de 12 a 2Ohs.No deje de verlo!, coordine visita con Virginia Díaz de DIAZ MOSCA Propiedades al (099)642005Honorarios por intermediación 3% del valor de venta + IVAAclaración a Colegas: ésta propiedad no la podemos compartir."
Apartamento,Pocitos,2024-08-06,-34.9145022,-56.1492377,590000,700.0,,Reciclada,Al frente,3.0,175,13,0,4.0,1.0,False,"Apartamento de Categoría, Avda Brasil y Benito Blanco, Living y dormitorios al frente con vista a la rambla, 1 dormitorio en suite con vestidor. Además dormitorio de servicio completo (hoy como cuarto de juegos). Cocina con comedor diario, parrillero techado y salida a patio.Calefacción central. Portería 24hs, cómodo lugar de estacionamientoGastos en meses si calefacción $25mil, meses con calefacción $34mil"
